name,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,skills,alignment,good,lawful,race,spells,weapons
3b3698,Acolyte,2018-06-03T04:52:39Z,Warlock 1,Warlock,The Celestial,1,,9,13,10,14,13,10,12,16,Religion|Insight|Deception|Intimidation,Chaotic Good,G,C,Dragonborn,Light*0|Sacred Flame*0|Mage Hand*0|Eldritch Blast*0|Hex*1|TashaÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Hideous Laughter*1,Dagger
759369,Barbarian Tribe Member,2018-05-25T22:16:24Z,Barbarian 8,Barbarian,Path of the Totem Warrior,8,,116,16,16,12,20,10,11,10,Athletics|Acrobatics|Stealth|Animal Handling|Perception|Survival|Intimidation,Chaotic Neutral,N,C,Half-Orc,,Dagger|Greataxe|Handaxe
7d35f9,Hermit,2018-06-10T14:56:40Z,Druid 1,Druid,,1,,9,13,12,14,13,10,19,12,Religion|Insight|Medicine|Perception,Neutral Good,G,N,Firbolg,,Quarterstaff|Scimitar
93cbf0,Haunted One,2018-08-16T16:46:06Z,Sorcerer 7,Sorcerer,Wild Magic,7,,44,10,11,10,14,16,14,19,Insight|Persuasion,,N/A,N/A,Half-Elf,Dancing Lights*0|Fire Bolt*0|Mage Hand*0|Poison Spray*0|Prestidigitation*0|Detect Magic*1|Witch Bolt*1|Burning Hands*1|Crown of Madness*2|Scorching Ray*2|Fear*3|Lightning Bolt*3|Wall of Fire*4,"Crossbow, Light|Dagger"
87886c,Knight,2018-06-03T23:55:27Z,Barbarian 1,Barbarian,,1,,15,15,19,15,16,10,12,14,Athletics|Arcana|Intimidation|Persuasion,Chaotic Neutral,N,C,Dragonborn,,Greatsword|Unarmed Strike|Javelin
955d0b,Faction Agent,2018-06-13T16:20:08Z,Fighter 5,Fighter,Eldritch Knight,5,Sentinel,39,19,18,10,12,16,10,9,Athletics|Arcana|Nature|Insight|Survival,,N/A,N/A,Human,Lightning Lure*0|Booming Blade*0|Shield*1|Absorb Elements*1|Snare*1,Longsword|Handaxe
70fcef,Faction Agent,2018-06-13T20:52:39Z,Sorcerer 5,Sorcerer,Wild Magic,5,Lucky,32,12,10,14,14,10,10,18,Arcana|History|Insight|Deception|Persuasion,,N/A,N/A,Human,,Quarterstaff|Dagger
ebc99d,Faction Agent,2018-06-12T20:58:27Z,Fighter 5,Fighter,Eldritch Knight,5,Sentinel,39,19,18,10,12,16,10,9,Athletics|Arcana|Nature|Insight|Survival,,N/A,N/A,Human,,Longsword|Handaxe
105cd5,Faction Agent,2018-06-15T16:21:06Z,Rogue 5,Rogue,Arcane Trickster,5,,38,15,10,18,14,16,11,10,Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Survival,,N/A,N/A,Human,,Rapier|Shortbow|Dagger
f69f29,Faction Agent,2018-06-12T20:41:32Z,Cleric 5,Cleric,Arcana Domain,5,Magic Initiate,28,16,9,16,10,10,18,12,Arcana|History|Religion|Insight|Medicine|Persuasion,,N/A,N/A,Human,Detect Magic*1|Magic Missile*1|Magic Weapon*2|NystulÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Magic Aura*2|Dispel Magic*3|Magic Circle*3,"Mace|Crossbow, Light"
ebc99d,Faction Agent,2018-06-12T21:01:10Z,Fighter 5,Fighter,Eldritch Knight,5,Sentinel,39,19,18,10,12,16,10,9,Athletics|Arcana|Nature|Insight|Survival,,N/A,N/A,Human,Lightning Lure*0|Booming Blade*0|Shield*1|Absorb Elements*1|Snare*1,Longsword|Handaxe
71c5aa,Urchin,2018-08-08T09:26:58Z,Monk 1,Monk,,1,,9,17,14,19,15,14,16,14,Acrobatics|Sleight of Hand|Stealth|Insight,Lawful Neutral,N,L,Halfling,,Quarterstaff|Dart|Unarmed Strike
66e397,Outlander,2018-07-10T18:40:47Z,Rogue 1,Rogue,,1,,9,14,10,17,13,10,14,12,Athletics|Stealth|Perception|Survival|Deception,Chaotic Good,G,C,Elf,,Shortsword|Shortbow|Dagger
c936b2,Folk Hero,2018-07-28T19:56:15Z,Warlock 1,Warlock,The Fiend,1,,8,11,11,11,16,11,12,16,History|Nature|Animal Handling|Survival,,N/A,N/A,Human,,"Crossbow, Light|Dagger"
300b28,Knight,2018-08-04T22:03:36Z,Paladin 5,Paladin,Oath of Devotion,5,Shield Master|Resilient,50,23,18,14,18,14,16,16,Athletics|Arcana|Religion|Perception|Persuasion,,N/A,N/A,Human,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2,Longsword|Flail
3c926c,Hermit,2018-08-30T18:37:02Z,Fighter 6|Bard 3,Fighter|Bard,Battle Master|College of Lore,9,Grappler,82,17,20,16,16,10,14,13,Athletics|Acrobatics|Stealth|Nature|Religion|Animal Handling|Medicine|Survival|Intimidation,,N/A,N/A,Bugbear,,"Crossbow, Light"
a4842f,Acolyte,2018-08-28T13:24:27Z,Paladin 3|Sorcerer 6,Paladin|Sorcerer,Oath of Devotion|Draconic Bloodline,9,Polearm Master|War Caster,73,19,19,14,14,10,12,19,Athletics|Religion|Insight|Intimidation|Persuasion,,N/A,N/A,Human,Protection from Evil and Good*1|Sanctuary*1,Lance|Halberd|Net
fa63a2,Hermit,2018-09-03T19:58:28Z,Mystic 8,Mystic,Order of the Wu Jen,8,,68,15,12,18,18,18,12,7,Arcana|Religion|Insight|Medicine|Perception|Survival,,N/A,N/A,Human,,"Spear|Crossbow, Light"
93cbf0,Haunted One,2018-08-09T19:45:09Z,Sorcerer 7,Sorcerer,Wild Magic,7,,44,10,11,10,14,16,14,19,Insight|Persuasion,,N/A,N/A,Half-Elf,,"Crossbow, Light|Dagger"
c02874,Acolyte,2018-06-28T20:49:25Z,Bard 3,Bard,College of Glamour,3,,27,13,8,15,14,10,9,17,Sleight of Hand|Religion|Animal Handling|Insight|Performance,,N/A,N/A,Tiefling,,Mace|Dagger
fff5d7,Mercenary Veteran,2018-08-21T19:54:50Z,Druid 1,Druid,,1,,7,11,12,11,13,13,15,12,Athletics|Animal Handling|Insight|Survival|Deception|Persuasion,,N/A,N/A,Half-Elf,,"Crossbow, Light|Scimitar"
f64631,Noble,2018-06-16T20:30:27Z,Cleric 1|Wizard 13,Cleric|Wizard,Light Domain|School of Divination,14,Lucky,102,18,10,14,16,18,14,11,History|Religion|Insight|Persuasion,,N/A,N/A,Human,Light*0|Burning Hands*1|Faerie Fire*1,"Mace|Crossbow, Light"
0f183a,Criminal,2018-07-14T22:04:33Z,Fighter 1,Fighter,,1,,11,16,17,15,13,8,11,9,Stealth|Survival|Deception|Intimidation,,N/A,N/A,Bugbear,,"Greataxe|Crossbow, Heavy|Handaxe"
f74c74,Sage,2018-07-18T22:13:30Z,Sorcerer 2,Sorcerer,Shadow Magic,2,,14,12,8,14,14,14,10,15,Arcana|History|Insight|Persuasion,,N/A,N/A,Gnome,,Dagger
b71418,Outlander,2018-07-16T22:32:17Z,Paladin 2,Paladin,,2,,18,16,14,15,13,10,8,15,Athletics|Insight|Survival|Intimidation,,N/A,N/A,Dragonborn,,Javelin|Longsword
f74c74,Sage,2018-07-10T01:18:16Z,Sorcerer 1,Sorcerer,Shadow Magic,1,,8,12,8,14,14,14,10,15,Arcana|History|Insight|Persuasion,,N/A,N/A,Gnome,,Dagger
b71418,Outlander,2018-07-10T13:52:40Z,Paladin 1,Paladin,,1,,11,16,14,15,13,10,8,15,Athletics|Insight|Survival|Intimidation,,N/A,N/A,Dragonborn,,Javelin|Longsword
e6c8ab,Urban Bounty Hunter,2018-08-16T17:32:03Z,Rogue 10,Rogue,Mastermind,10,Healer,24,15,17,16,15,13,12,9,Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception,True Neutral,N,N,Human,,"Dagger|Crossbow, Light"
458a02,Hermit,2018-08-23T22:43:50Z,Monk 10,Monk,Way of the Sun Soul,10,Sentinel,63,18,8,20,13,8,16,6,Acrobatics|Stealth|Religion|Insight|Medicine,True Neutral,N,N,,,Unarmed Strike
a555f7,Outlander,2018-08-14T04:24:31Z,Monk 3|Druid 2,Monk|Druid,Way of the Sun Soul|Circle of the Moon,5,,33,16,12,16,13,10,17,8,Athletics|Acrobatics|Insight|Survival,,N/A,N/A,Firbolg,Shillelagh*0|Primal Savagery*0|Goodberry*1|Create or Destroy Water*1|Purify Food and Drink*1,Quarterstaff|Dart|Unarmed Strike
95d4a1,Cloistered Scholar,2018-09-07T09:41:03Z,Wizard 2,Wizard,Lore Mastery,2,Linguist,16,11,8,13,14,17,10,12,Arcana|History|Investigation|Religion,,N/A,N/A,Human,,Quarterstaff
b7ec79,Folk Hero,2018-05-28T11:21:52Z,Bard 5,Bard,College of Whispers,5,,50,13,10,14,14,10,9,19,Stealth|Animal Handling|Survival|Deception|Persuasion,,N/A,N/A,Yuan-ti,,Rapier|Dagger
d63bef,Far Traveler,2018-07-31T07:57:33Z,Cleric 2,Cleric,Grave Domain,2,,20,18,13,16,14,10,18,12,Religion|Insight|Medicine|Perception,,N/A,N/A,Elf,Spare the Dying*0|Bane*1|False Life*1,Shortbow|Shortsword|Dagger
d3f09a,Outlander,2018-09-02T04:11:46Z,Cleric 2,Cleric,Trickery Domain,2,,16,17,12,19,10,10,22,14,Athletics|Religion|Survival|Persuasion,,N/A,N/A,Gnome,Light*0|Sacred Flame*0|Mending*0|Minor Illusion*0|Charm Person*1|Disguise Self*1|Inflict Wounds*1|Guiding Bolt*1|Command*1,Mace|Shortbow
850d99,Entertainer,2018-06-29T18:28:06Z,Warlock 1|Bard 19,Warlock|Bard,The Hexblade|College of Swords,20,Elven Accuracy|Resilient|Lucky,163,13,8,14,16,12,12,20,Acrobatics|Investigation|Perception|Deception|Performance|Persuasion,,N/A,N/A,Half-Elf,,"Crossbow, Light|Dagger"
f0d601,Courtier,2018-07-09T01:58:00Z,Cleric 1,Cleric,Life Domain,1,,10,15,9,12,14,10,16,14,History|Insight|Medicine|Persuasion,Lawful Good,G,L,Aasimar,Light*0|Sacred Flame*0|Spare the Dying*0|Toll the Dead*0|Bless*1|Cure Wounds*1,Mace
3481bd,Charlatan,2018-08-09T19:12:43Z,Ranger 7,Ranger,Beast Master,7,Elven Accuracy,65,14,10,17,15,10,13,11,Sleight of Hand|Nature|Animal Handling|Insight|Perception|Deception,Lawful Neutral,N,L,Elf,HunterÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Mark*1|Speak with Animals*1|Silence*2|Pass Without Trace*2|Animal Messenger*2,Sickle|Longbow|Whip
b9609a,Outlander,2018-07-28T07:53:43Z,Druid 1,Druid,,1,,8,15,14,15,10,16,22,10,Athletics|Nature|Animal Handling|Survival,Neutral Good,G,N,Gnome,,
2a41dd,Barbarian Tribe Member,2018-07-28T07:16:50Z,Barbarian 1,Barbarian,,1,,17,16,22,13,20,12,1,16,Athletics|Perception|Survival|Intimidation,Chaotic Good,G,C,Dwarf,,War pick|Unarmed Strike|Javelin
69af00,Outlander,2018-07-28T08:25:16Z,Paladin 1,Paladin,,1,,13,16,22,15,16,10,12,20,Athletics|Survival|Intimidation|Persuasion,,N/A,N/A,Gnome,,War pick|Battleaxe|Unarmed Strike
ff0168,Folk Hero,2018-07-17T00:04:04Z,Fighter 10,Fighter,Champion,10,,94,19,18,13,16,11,11,13,Athletics|Animal Handling|Perception|Survival|Intimidation,,N/A,N/A,Half-Orc,,Greatsword|Battleaxe
a81320,Knight,2018-08-26T20:42:06Z,Fighter 5,Fighter,Eldritch Knight,5,Lucky,60,18,16,11,14,16,10,10,Athletics|History|Perception|Persuasion,,N/A,N/A,Human,,Longsword
b185e6,Noble,2018-08-30T15:23:57Z,Druid 7,Druid,Circle of the Shepherd,7,,49,16,8,16,14,10,16,13,History|Animal Handling|Insight|Perception|Persuasion,Lawful Good,G,L,,Create Bonfire*0|Druidcraft*0|Mending*0|Charm Person*1|Entangle*1|Detect Magic*1|Cure Wounds*1|Beast Bond*1|Healing Spirit*2|Moonbeam*2|Conjure Animals*3|Plant Growth*3|Giant Insect*4,Scimitar
8dec4d,Acolyte,2018-08-27T18:16:50Z,Paladin 4|Sorcerer 8,Paladin|Sorcerer,Oath of Devotion|Draconic Bloodline,12,Polearm Master|Sentinel|War Caster,96,19,20,14,14,10,12,20,Athletics|Religion|Insight|Intimidation|Persuasion,,N/A,N/A,Human,Booming Blade*0|Green-Flame Blade*0|Fire Bolt*0|Lightning Lure*0|Friends*0|Burning Hands*1|Shield*1|Protection from Evil and Good*1|Sanctuary*1|Scorching Ray*2|Hold Person*2|Fireball*3|Counterspell*3|Greater Invisibility*4|Polymorph*4|Animate Objects*5|Hold Monster*5,Net|Greatclub|Lance
cd7ca2,Former pilot,2018-08-20T15:57:45Z,Ranger 1,Ranger,,1,,11,13,6,15,12,8,14,10,Stealth|Insight|Perception,,N/A,N/A,Human,,Shortsword|Longbow
359ab3,Haunted One,2018-06-05T23:36:23Z,Barbarian 5,Barbarian,Path of the Zealot,5,,50,14,19,14,14,12,10,8,Athletics|Nature|Religion|Perception|Survival,,N/A,N/A,Goliath,,Greataxe|Handaxe|Javelin
41dc42,Sailor,2018-05-28T01:59:03Z,Druid 1,Druid,,1,,10,16,8,17,14,10,16,8,Athletics|Arcana|Perception|Survival,,N/A,N/A,Halfling,Druidcraft*0|Thorn Whip*0|Goodberry*1|Entangle*1,Scimitar
5528fb,Criminal,2018-06-13T05:50:10Z,Fighter 9|Cleric 1,Fighter|Cleric,Battle Master|Forge Domain,10,Crossbow Expert|Sharpshooter|Resilient,93,17,9,20,17,11,13,12,Stealth|Insight|Perception|Intimidation|Persuasion,Lawful Neutral,N,L,Human,Resistance*0|Thaumaturgy*0|Mending*0|Identify*1|Searing Smite*1|Bless*1|Healing Word*1,"Longbow|Crossbow, hand|Dagger|Sling|Net"
cb7e78,Urchin,2018-08-27T21:49:48Z,Druid 3,Druid,Circle of Dreams,3,,16,14,11,16,17,16,18,13,Sleight of Hand|Stealth|Arcana|Perception,,N/A,N/A,Dwarf,Druidcraft*0|Magic Stone*0|Detect Magic*1|Absorb Elements*1|Healing Word*1|Goodberry*1|Create or Destroy Water*1|Earth Tremor*1|Speak with Animals*1|Heat Metal*2|Moonbeam*2|Flame Blade*2,Quarterstaff|Scimitar
5528fb,Criminal,2018-06-04T19:20:55Z,Fighter 5,Fighter,Battle Master,5,Crossbow Expert|Sharpshooter,49,16,9,18,17,11,12,12,Stealth|Insight|Perception|Intimidation|Persuasion,Lawful Neutral,N,L,Human,,"Longbow|Crossbow, hand|Handaxe|Dagger|Rapier"
7b790b,Noble,2018-08-21T04:08:16Z,Paladin 3,Paladin,Oath of Vengeance,3,Magic Initiate,25,18,15,12,13,10,10,16,Athletics|History|Medicine|Intimidation|Persuasion,Lawful Evil,E,L,Human,Eldritch Blast*0|Prestidigitation*0|Hex*1|Cure Wounds*1|Searing Smite*1|Bane*1|HunterÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Mark*1,Longsword|Longbow
c96884,Clan Crafter,2018-08-04T00:20:44Z,Barbarian 14,Barbarian,Path of the Berserker,14,Great Weapon Master|Tough,159,16,20,11,15,7,12,12,History|Insight|Perception|Survival|Intimidation,,N/A,N/A,Half-Orc,,Greataxe|Javelin
77ae02,Hermit,2018-07-24T20:25:06Z,Ranger 4|Rogue 1,Ranger|Rogue,Hunter,5,Sharpshooter,33,16,11,16,10,9,14,7,Acrobatics|Stealth|Investigation|Religion|Medicine|Perception,,N/A,N/A,Halfling,,Shortsword|Longbow
e6f0d7,Courtier,2018-07-09T14:07:04Z,Sorcerer 10,Sorcerer,Storm Sorcery,10,Dragon Hide|Spell Sniper,42,12,10,14,10,13,12,18,Arcana|Religion|Insight|Persuasion,,N/A,N/A,Dragonborn,Control Flames*0|Fire Bolt*0|Mage Hand*0|Lightning Lure*0|Mending*0|Message*0|Comprehend Languages*1|Mage Armor*1|Suggestion*2|Web*2|Crown of Madness*2|Counterspell*3|Tongues*3|Major Image*3|Polymorph*4|Sickening Radiance*4|Immolation*5,Dagger
9b4c34,Clan Crafter,2018-07-09T14:31:04Z,Paladin 10,Paladin,OathBreaker,10,Squat Nimbleness,84,18,17,10,14,12,14,16,Athletics|History|Insight|Intimidation|Persuasion,,N/A,N/A,Dwarf,Hellish Rebuke*1|Inflict Wounds*1|Thunderous Smite*1|Heroism*1|Cure Wounds*1|Protection from Evil and Good*1|Crown of Madness*2|Darkness*2|Zone of Truth*2|Find Steed*2|Magic Weapon*2|Animate Dead*3|Bestow Curse*3|Remove Curse*3|Elemental Weapon*3,Javelin
792235,Knight,2018-07-09T14:32:55Z,Fighter 10,Fighter,Purple Dragon Knight,10,Sentinel|Mage Slayer|Shield Master,76,18,18,10,14,10,16,10,History|Animal Handling|Insight|Perception|Performance|Persuasion,,N/A,N/A,Human,,Longsword|Handaxe
20a586,Sage,2018-07-09T15:25:02Z,Druid 10,Druid,Circle of the Land,10,Wood Elf Magic|Elven Accuracy,53,16,10,16,10,16,18,10,Arcana|History|Nature|Medicine|Perception|Survival,,N/A,N/A,Elf,Guidance*0|Mold Earth*0|Shape Water*0|Thorn Whip*0|Druidcraft*0|Create or Destroy Water*1|Healing Word*1|Speak with Animals*1|Barkskin*2|Spider Climb*2|Animal Messenger*2|Skywrite*2|Lesser Restoration*2|Call Lightning*3|Plant Growth*3|Erupting Earth*3|Speak with Plants*3|Divination*4|Freedom of Movement*4|Watery Sphere*4|Conjure Woodland Beings*4|Commune with Nature*5|Tree Stride*5|Mass Cure Wounds*5|Wrath of Nature*5|Greater Restoration*5,Scimitar
e9a755,Guild Artisan,2018-07-09T13:59:30Z,Wizard 10,Wizard,School of Conjuration,10,Spell Sniper|Elven Accuracy,42,13,10,16,10,15,14,12,Arcana|Insight|Medicine|Perception|Persuasion,,N/A,N/A,Elf,,Quarterstaff
6f918e,Criminal,2018-07-09T14:05:11Z,Rogue 12,Rogue,Mastermind,12,Actor|Keen Mind|Observant,75,14,12,16,12,15,18,16,Sleight of Hand|Stealth|Insight|Perception|Deception|Intimidation|Persuasion,,N/A,N/A,Tabaxi,,Rapier|Shortbow|Dagger
71e2db,Urban Bounty Hunter,2018-06-10T03:21:36Z,Fighter 5|Warlock 1,Fighter|Warlock,Battle Master|The Hexblade,6,Crossbow Expert,57,16,8,18,16,8,12,13,Acrobatics|Stealth|Insight|Perception|Survival,Chaotic Neutral,N,C,Human,Friends*0|Mage Hand*0|Shield*1|Hex*1,"Crossbow, hand|Crossbow, Heavy|Crossbow, Light"
41dc42,Sailor,2018-05-28T01:59:30Z,Druid 1,Druid,,1,,10,16,8,17,14,10,16,8,Athletics|Arcana|Perception|Survival,,N/A,N/A,Halfling,Druidcraft*0|Thorn Whip*0|Goodberry*1|Entangle*1,Scimitar
c42383,Charlatan,2018-06-01T21:39:06Z,Bard 1,Bard,,1,,9,14,13,17,12,13,9,18,Sleight of Hand|Stealth|Deception|Performance|Persuasion,,N/A,N/A,Human,,Rapier|Dagger
221034,Courtesan,2018-09-02T05:02:25Z,Bard 5,Bard,College of Lore,5,War Caster,44,20,10,12,14,12,14,16,Acrobatics|Sleight of Hand|Stealth|History|Investigation|Medicine|Perception|Deception|Performance|Persuasion,Chaotic Neutral,N,C,Half-Elf,Prestidigitation*0|True Strike*0|Vicious Mockery*0|Dissonant Whispers*1|Faerie Fire*1|Healing Word*1|TashaÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Hideous Laughter*1|Hold Person*2|Invisibility*2|Silence*2|Enemies Abound*3,Whip|Longbow|Longsword
1722d8,Sage,2018-08-19T17:59:18Z,Ranger 4,Ranger,Beast Master,4,,25,12,13,13,8,15,15,10,Stealth|Arcana|History|Investigation|Animal Handling|Perception,,N/A,N/A,Human,HunterÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s Mark*1|Speak with Animals*1|Fog Cloud*1,Shortsword|Longbow|Dagger
4ed3b0,Outlander,2018-09-09T22:39:53Z,Barbarian 8,Barbarian,Path of the Totem Warrior,8,,101,22,20,20,20,12,14,18,Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation,Chaotic Good,G,C,Dwarf,,Battleaxe|Warhammer|Javelin
5528fb,Criminal,2018-06-17T10:12:20Z,Fighter 12|Cleric 4,Fighter|Cleric,Battle Master|Forge Domain,16,Crossbow Expert|Sharpshooter|Resilient|Lucky,160,17,9,20,18,11,14,12,Stealth|Insight|Perception|Intimidation|Persuasion,Lawful Neutral,N,L,Human,Resistance*0|Thaumaturgy*0|Mending*0|Identify*1|Searing Smite*1|Bless*1|Healing Word*1|Heat Metal*2|Magic Weapon*2,"Longbow|Crossbow, hand|Dagger|Sling|Net"
32b297,Criminal,2018-06-24T05:04:35Z,Rogue 1,Rogue,,1,,7,14,14,17,11,8,5,7,Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion,,N/A,N/A,Halfling,,Rapier|Shortsword|Dagger
aecead,Outlander,2018-07-05T20:37:04Z,Druid 3,Druid,Circle of the Moon,3,,27,16,7,14,16,8,17,13,Athletics|Nature|Perception|Survival,Neutral Good,G,N,Halfling,Druidcraft*0|Produce Flame*0|Goodberry*1|Create or Destroy Water*1|Healing Word*1|Cure Wounds*1|Lesser Restoration*2|Healing Spirit*2|Pass Without Trace*2|Darkvision*2,Scimitar
5babf5,Clan Crafter,2018-06-08T16:53:43Z,Fighter 3|Barbarian 9,Fighter|Barbarian,Champion|Path of the Berserker,12,,110,17,19,16,17,8,8,8,Athletics|History|Insight|Perception|Intimidation,,N/A,N/A,Goliath,,Greatsword|Maul|Handaxe
c42383,Far Traveler,2018-07-11T13:57:38Z,Monk 3,Monk,Way of the Four Elements,3,Charger,24,16,8,17,15,8,16,8,Acrobatics|Stealth|Insight|Perception,,N/A,N/A,Human,,Shortsword|Dart|Unarmed Strike
8d74da,Clan Crafter,2018-06-08T13:57:21Z,Fighter 3|Barbarian 9,Fighter|Barbarian,Champion|Path of the Berserker,12,,110,20,19,16,17,8,8,8,Athletics|History|Insight|Perception|Intimidation,,N/A,N/A,Goliath,,Greatsword|Maul|Handaxe
8c5219,Acolyte,2018-08-15T16:55:19Z,Cleric 1,Cleric,Arcana Domain,1,,10,16,17,10,15,15,18,13,Arcana|History|Religion|Insight|Medicine,,N/A,N/A,Human,Mending*0|Spare the Dying*0|Sacred Flame*0|Fire Bolt*0|Dancing Lights*0|Detect Magic*1|Magic Missile*1|Cure Wounds*1|Healing Word*1,"Mace|Crossbow, Light"
7d35f9,Hermit,2018-07-10T11:45:41Z,Druid 1,Druid,,1,,9,13,12,14,13,10,19,12,Religion|Insight|Medicine|Perception,Neutral Good,G,N,Firbolg,,Quarterstaff|Scimitar
d9db84,Far Traveler,2018-07-06T07:24:01Z,Ranger 9,Ranger,Hunter,9,,95,15,13,19,15,12,10,10,Athletics|Stealth|Insight|Perception|Survival,,N/A,N/A,Halfling,,Shortsword|Longbow
3dc6a8,Noble,2018-09-06T16:20:14Z,Wizard 5,Wizard,School of Divination,5,Lucky,32,12,8,14,14,18,10,14,Arcana|History|Investigation|Perception|Deception|Persuasion,,N/A,N/A,Half-Elf,Prestidigitation*0|Minor Illusion*0|Mending*0|Fire Bolt*0|Mage Armor*1|Detect Magic*1|Disguise Self*1|Shield*1|Identify*1|Grease*1|Misty Step*2|Suggestion*2|Invisibility*2|Hold Person*2|Web*2|Counterspell*3|Dispel Magic*3|Haste*3,Dagger
e318fe,Mercenary Veteran,2018-07-21T05:52:36Z,Paladin 3,Paladin,Oath of Conquest,3,,30,17,17,9,12,10,10,16,Athletics|Insight|Medicine|Persuasion,,N/A,N/A,Dragonborn,Command*1,Warhammer|Javelin
4eb2e3,Faction Agent,2018-07-16T02:14:30Z,Cleric 3,Cleric,Forge Domain,3,,24,17,14,9,15,12,17,12,History|Religion|Insight|Persuasion,,N/A,N/A,Firbolg,Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2,"Mace|Crossbow, Light"
de8198,Urban Bounty Hunter,2018-08-17T01:55:02Z,Fighter 1,Fighter,,1,,11,14,11,17,13,16,6,13,Athletics|Stealth|Perception|Intimidation|Persuasion,Chaotic Neutral,N,C,Elf,Sword Burst*0,Longbow|Shortsword|Whip|Handaxe
da029c,Haunted One,2018-08-29T01:09:46Z,Sorcerer 1,Sorcerer,Wild Magic,1,,9,12,18,14,16,14,9,15,Athletics|Arcana|Investigation|Intimidation|Persuasion,,N/A,N/A,Goliath,,Dagger
